series_id                     	year	period	       value	footnote_codes
JTS000000000000000OSL         	2010	M12	         310	
JTS000000000000000OSL         	2011	M01	         365	
JTS000000000000000OSL         	2011	M02	         313	
JTS000000000000000OSL         	2011	M03	         295	
JTS000000000000000OSL         	2011	M04	         324	
JTS000000000000000OSL         	2011	M05	         310	
JTS000000000000000OSL         	2011	M06	         320	
JTS000000000000000OSL         	2011	M07	         340	
JTS000000000000000OSL         	2011	M08	         305	
JTS000000000000000OSL         	2011	M09	         293	
JTS000000000000000OSL         	2011	M10	         352	
JTS000000000000000OSL         	2011	M11	         295	
JTS000000000000000OSL         	2011	M12	         303	
JTS000000000000000OSL         	2012	M01	         347	
JTS000000000000000OSL         	2012	M02	         302	
JTS000000000000000OSL         	2012	M03	         319	
JTS000000000000000OSL         	2012	M04	         324	
JTS000000000000000OSL         	2012	M05	         322	
JTS000000000000000OSL         	2012	M06	         348	
JTS000000000000000OSL         	2012	M07	         373	
JTS000000000000000OSL         	2012	M08	         368	
JTS000000000000000OSL         	2012	M09	         336	
JTS000000000000000OSL         	2012	M10	         326	
JTS000000000000000OSL         	2012	M11	         313	
JTS000000000000000OSL         	2012	M12	         364	
JTS000000000000000OSL         	2013	M01	         409	
JTS000000000000000OSL         	2013	M02	         320	
JTS000000000000000OSL         	2013	M03	         316	
JTS000000000000000OSL         	2013	M04	         341	
JTS000000000000000OSL         	2013	M05	         363	
JTS000000000000000OSL         	2013	M06	         356	
JTS000000000000000OSL         	2013	M07	         362	
JTS000000000000000OSL         	2013	M08	         377	
JTS000000000000000OSL         	2013	M09	         322	
JTS000000000000000OSL         	2013	M10	         299	
JTS000000000000000OSL         	2013	M11	         318	
JTS000000000000000OSL         	2013	M12	         331	
JTS000000000000000OSL         	2014	M01	         337	
JTS000000000000000OSL         	2014	M02	         352	
JTS000000000000000OSL         	2014	M03	         360	
JTS000000000000000OSL         	2014	M04	         356	
JTS000000000000000OSL         	2014	M05	         377	
JTS000000000000000OSL         	2014	M06	         358	
